24/04 11:50:25 INFO server.LineServer|info server started at *:4039
24/04 11:50:25 INFO server.TACServer|waiting for Info Server to start...
24/04 11:51:24 FINE server.LineServer|new info connection: info-1
24/04 11:51:24 INFO server.InfoServer|new Java Info server connection
24/04 11:51:24 INFO server.TACServer|tac server started at *:6500
24/04 11:53:32 FINE server.TACServer|new agent: tac-1
24/04 11:53:32 FINEST server.TACConnection|XML_IN(tac-1): <auth><userName>FlowerPower</userName><userPW>happy24</userPW></auth>
24/04 11:53:32 FINEST server.TACConnection|XML_OUT(FlowerPower@tac-1): <auth><userID>0</userID><commandStatus>0</commandStatus></auth>
24/04 11:53:32 FINEST server.TACConnection|XML_IN(FlowerPower@tac-1): <serverTime></serverTime>
24/04 11:53:32 FINEST server.TACConnection|XML_OUT(FlowerPower@tac-1): <serverTime><time>1366804412</time><commandStatus>0</commandStatus></serverTime>
24/04 11:53:32 FINEST server.TACConnection|XML_IN(FlowerPower@tac-1): <nextGame></nextGame>
24/04 11:53:32 FINEST server.TACConnection|XML_OUT(FlowerPower@tac-1): <nextGame><gameID>2</gameID><startTime>1366804500</startTime><gameType>0</gameType><commandStatus>0</commandStatus></nextGame>
24/04 11:53:32 FINEST server.TACConnection|XML_IN(FlowerPower@tac-1): <quit></quit>
24/04 11:53:32 FINEST server.TACConnection|XML_OUT(FlowerPower@tac-1): <quit><commandStatus>0</commandStatus></quit>
24/04 11:53:32 FINEST inet.InetConnection|FlowerPower@tac-1: connection closed from 127.0.0.1
24/04 11:55:00 FINE server.InfoManager|Entering log for game 2
************************************************************
* Entering log for game 2
************************************************************


24/04 12:04:00 INFO server.InfoServer|Game 2 have finished calculating score
24/04 12:04:01 FINEST server.TACConnection|XML_IN(FlowerPower@tac-2): <getQuote><auctionID>17</auctionID></getQuote>
24/04 12:04:01 FINEST server.TACConnection|XML_OUT(FlowerPower@tac-2): <getQuote><lastAskPrice>0.0000</lastAskPrice><lastBidPrice>106.1272</lastBidPrice><lastQuoteTime>1366805040</lastQuoteTime><nextQuoteTime>1366805071</nextQuoteTime><lastClearPrice>99.8411</lastClearPrice><lastClearTime>1366804930</lastClearTime><finalClearTime>1366805040</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
24/04 12:04:01 FINEST server.TACConnection|XML_IN(FlowerPower@tac-2): <getQuote><auctionID>18</auctionID></getQuote>
24/04 12:04:01 FINEST server.TACConnection|XML_OUT(FlowerPower@tac-2): <getQuote><lastAskPrice>60.8858</lastAskPrice><lastBidPrice>0.0000</lastBidPrice><lastQuoteTime>1366805040</lastQuoteTime><nextQuoteTime>1366805071</nextQuoteTime><lastClearPrice>84.3429</lastClearPrice><lastClearTime>1366804930</lastClearTime><finalClearTime>1366805040</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
24/04 12:04:01 FINEST server.TACConnection|XML_IN(FlowerPower@tac-2): <getQuote><auctionID>19</auctionID><bidID>1033</bidID></getQuote>
24/04 12:04:01 FINEST server.TACConnection|XML_OUT(FlowerPower@tac-2): <getQuote><lastAskPrice>55.0082</lastAskPrice><lastBidPrice>53.5810</lastBidPrice><lastQuoteTime>1366805040</lastQuoteTime><nextQuoteTime>1366805071</nextQuoteTime><lastClearPrice>56.5647</lastClearPrice><lastClearTime>1366804990</lastClearTime><finalClearTime>1366805040</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
24/04 12:04:01 FINEST server.TACConnection|XML_IN(FlowerPower@tac-2): <getQuote><auctionID>20</auctionID></getQuote>
24/04 12:04:01 FINEST server.TACConnection|XML_OUT(FlowerPower@tac-2): <getQuote><lastAskPrice>55.6247</lastAskPrice><lastBidPrice>0.0000</lastBidPrice><lastQuoteTime>1366805040</lastQuoteTime><nextQuoteTime>1366805071</nextQuoteTime><lastClearPrice>0.0000</lastClearPrice><lastClearTime>0</lastClearTime><finalClearTime>1366805040</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
24/04 12:04:01 FINEST server.TACConnection|XML_IN(FlowerPower@tac-2): <getQuote><auctionID>21</auctionID><bidID>1034</bidID></getQuote>
24/04 12:04:01 FINEST server.TACConnection|XML_OUT(FlowerPower@tac-2): <getQuote><lastAskPrice>59.4537</lastAskPrice><lastBidPrice>0.0000</lastBidPrice><lastQuoteTime>1366805040</lastQuoteTime><nextQuoteTime>1366805071</nextQuoteTime><lastClearPrice>0.0000</lastClearPrice><lastClearTime>0</lastClearTime><finalClearTime>1366805040</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
24/04 12:04:01 FINEST server.TACConnection|XML_IN(FlowerPower@tac-2): <getQuote><auctionID>22</auctionID></getQuote>
